rank_in_observation,observed_share_exact,shifted_share_exact
82,396087823249318/88836216831666463,998385005935623133098958746961/264883203251722904205096124937020
83,382432813619454/88836216831666463,963965980481812405639112990133/264883203251722904205096124937020
84,326283937420226/88836216831666463,822436267102668936829707141227/264883203251722904205096124937020
85,319904618930590/88836216831666463,161271291932047693296567590561/52976640650344580841019224987404
86,314578993067898/88836216831666463,792932605917610655070871739871/264883203251722904205096124937020
87,312317746619041/88836216831666463,1574465747288476297859248775339/529766406503445808410192249874040
88,18275088305659/5225659813627439,1566191850818851604201937981337/529766406503445808410192249874040
89,309639291631760/88836216831666463,39024075958412985411300730126/13244160162586145210254806246851
90,302339485381498/88836216831666463,762081516242874966502095407071/264883203251722904205096124937020
91,296455414310857/88836216831666463,1494500073990356913029336002403/529766406503445808410192249874040
92,285775827189679/88836216831666463,1440661813758580597016829625541/529766406503445808410192249874040
93,262074614044369/88836216831666463,188739790766458154007242949293/75680915214777972630027464267720
94,254395110112800/88836216831666463,32061609649647144118361094780/13244160162586145210254806246851
95,248197194138834/88836216831666463,625609631497126454415428504643/264883203251722904205096124937020
96,248012623390159/88836216831666463,1250288799308195881988663271461/529766406503445808410192249874040
97,240683232196575/88836216831666463,34666847112544646061332006055/15136183042955594526005492853544
98,228551923494179/88836216831666463,1152182925606900133347859631041/529766406503445808410192249874040
99,216292612953231/88836216831666463,1090380915503262893052363125349/529766406503445808410192249874040
100,207439409674172/88836216831666463,261437469296384096436026360197/132441601625861452102548062468510
101,204184452110174/88836216831666463,514670442932706418655008229573/264883203251722904205096124937020
102,11883787256769/5225659813627439,1018451481443901229104255899067/529766406503445808410192249874040
103,201141222023454/88836216831666463,506999630779814400670039148133/264883203251722904205096124937020
104,191017404892010/88836216831666463,96296276594635304257479453979/52976640650344580841019224987404
105,190995096414267/88836216831666463,962850303768136367891103182793/529766406503445808410192249874040
106,190992929113757/88836216831666463,962839377906721140177398021503/529766406503445808410192249874040
107,190750033560737/88836216831666463,137373555062655725061707612989/75680915214777972630027464267720
108,180073291916109/88836216831666463,907790969909960431161917066511/529766406503445808410192249874040
109,10410602981133/5225659813627439,892198236115335076092822694719/529766406503445808410192249874040
110,156836285085284/88836216831666463,28237423662268199311643127637/18920228803694493157506866066930
111,143343839119474/88836216831666463,7373768699346173764082859427/5405779658198426616430533161980
112,142262542195878/88836216831666463,358589132757170795580271824081/264883203251722904205096124937020
113,136056241846570/88836216831666463,68589087495408257161244012603/52976640650344580841019224987404
114,115874172844617/88836216831666463,584148413320138889269214665443/529766406503445808410192249874040
115,115269279980611/88836216831666463,581099008970028834561675086369/529766406503445808410192249874040
116,115264484976022/88836216831666463,290537418123343973406467710969/264883203251722904205096124937020
117,115175926890280/88836216831666463,14515709863114441010348993003/13244160162586145210254806246851
118,113096050686696/88836216831666463,10181129628366989002236247689/9460114401847246578753433033465
119,113071118794776/88836216831666463,71252196471849227162292022113/66220800812930726051274031234255
120,113062126748013/88836216831666463,569972240794471303111353225327/529766406503445808410192249874040
121,113056600053423/88836216831666463,569944379453187057878119563717/529766406503445808410192249874040
122,113035620592218/88836216831666463,284919308576832719761767086511/264883203251722904205096124937020
123,112911719198681/88836216831666463,569214001670628962629865210899/529766406503445808410192249874040
124,112886011358081/88836216831666463,569084402520725950575189543499/529766406503445808410192249874040
125,112821247054066/88836216831666463,284378955368282793522479409907/264883203251722904205096124937020
126,112779872950111/88836216831666463,568549334342149680758463126869/529766406503445808410192249874040
127,6633709272728/5225659813627439,71064372096842468423356002913/66220800812930726051274031234255
128,112763588976173/88836216831666463,568467243076210852604765985967/529766406503445808410192249874040
129,112763232332796/88836216831666463,142116361288686033311873805621/132441601625861452102548062468510
130,112759309839797/88836216831666463,568445670963434929458769462663/529766406503445808410192249874040
131,112758248465742/88836216831666463,284220160166092995034306860909/264883203251722904205096124937020
132,112732644216649/88836216831666463,568311243410946725521481843171/529766406503445808410192249874040
133,112730878850426/88836216831666463,284151171896457348183318844127/264883203251722904205096124937020
134,112728720006878/88836216831666463,284145730282497084200664408581/264883203251722904205096124937020
135,112728700658460/88836216831666463,28414568151257969238097394217/26488320325172290420509612493702
136,112727094370356/88836216831666463,142070816339147846708262916431/132441601625861452102548062468510
137,112722086971320/88836216831666463,14206450547597201503168017657/13244160162586145210254806246851
138,112721521411952/88836216831666463,71031896348594669038548170426/66220800812930726051274031234255
139,6630656872774/5225659813627439,284126691647747163361568898641/264883203251722904205096124937020
