snapshot_date,N,coverage,tail_mass,observed_support,observed_mass_top1m,total_supply_btc,cr_lower,cr_upper,cr_exact,nc_lower,nc_upper,nc_exact,hhi_lower,hhi_upper,hhi_upper_safe,hhi_tail_exact,hill2_lower,hill2_upper,positive_address_count,omitted_positive_count,gini_lower_count_aware,gini_upper_count_aware
2025-09-23,100,0.1486404935709599,0.8513595064290401,1000000,0.93136079343513,19925284.0,0.1486404935709599,1.0,0.5391232365565756,920,nan,7396,0.0005260699364981565,0.0008908962984455751,0.725339079123597,0.00036482636194741855,1122.4650969420209,1900.8879440186454,55000000,54999900,0.14863880436799207,0.9999660135526094
2025-09-23,112,0.15339000638591,0.8466099936140901,1000000,0.93136079343513,19925284.0,0.15339000638591,1.0,0.5391232365565756,1033,nan,7396,0.0005279519064609885,0.0008466132529575261,0.7172764331937107,0.00031866134649653755,1181.1768791790566,1894.1119214878563,55000000,54999888,0.1533881228155418,0.9999617717239417
2025-09-23,126,0.15843846126728983,0.8415615387327102,1000000,0.93136079343513,19925284.0,0.15843846126728983,1.0,0.5391232365565756,1113,nan,7396,0.0005297740282848044,0.0008211825743090213,0.7087555975024518,0.00029140854602421683,1217.7559915241059,1887.5972520540474,55000000,54999874,0.15843635193670388,0.9999587780089989
2025-09-23,141,0.16344989413855732,0.8365501058614426,1000000,0.93136079343513,19925284.0,0.16344989413855732,1.0,0.5391232365565756,1188,nan,7396,0.0005314495818367467,0.0008004060821887454,0.7003475291986275,0.0002689565003519988,1249.3658184923536,1881.6460378873437,55000000,54999859,0.16344754383102303,0.9999559313976336
2025-09-23,159,0.1691703311072846,0.8308296688927154,1000000,0.93136079343513,19925284.0,0.1691703311072846,1.0,0.5391232365565756,1223,nan,7396,0.0005332677734721774,0.0007917834943968892,0.6908112064858513,0.00025851572092471187,1262.9715156688278,1875.2305122225314,55000000,54999841,0.1691676923657036,0.9999546251526199
2025-09-23,179,0.1751825696618974,0.8248174303381026,1000000,0.93136079343513,19925284.0,0.1751825696618974,1.0,0.5391232365565756,1282,nan,7396,0.0005350754137762812,0.0007780367407092993,0.680858868803327,0.0002429613269330181,1285.2863466169313,1868.895438387881,55000000,54999821,0.17517961143488153,0.9999523656362613
2025-09-23,201,0.18131165021890328,0.8186883497810967,1000000,0.93136079343513,19925284.0,0.18131165021890328,1.0,0.5391232365565756,1420,nan,7396,0.0005367839538169254,0.0007509238527531434,0.6707873980211123,0.00021413989893621796,1331.6929490702132,1862.9468949085954,55000000,54999799,0.18130834214679925,0.9999471119265615
2025-09-23,226,0.1876230676823432,0.8123769323176568,1000000,0.93136079343513,19925284.0,0.1876230676823432,1.0,0.5391232365565756,1476,nan,7396,0.000538377559820034,0.0007414033783798004,0.6604946577216668,0.00020302581855976637,1348.7934222599774,1857.4325429430503,55000000,54999774,0.18761936442969357,0.9999449490636149
2025-09-23,254,0.19442105366038295,0.805578946339617,1000000,0.93136079343513,19925284.0,0.19442105366038295,1.0,0.5391232365565756,1548,nan,7396,0.0005400284720663132,0.0007303037733120762,0.649497467257714,0.00019027530124576296,1369.2932126925712,1851.7542161688175,55000000,54999746,0.19441690893373148,0.9999421834066322
2025-09-23,285,0.20152785702164797,0.798472142978352,1000000,0.93136079343513,19925284.0,0.20152785702164797,1.0,0.5391232365565756,1607,nan,7396,0.0005416579786866918,0.000721975248380625,0.6380994210911285,0.00018031726969393322,1385.0890348983273,1846.1834577321429,55000000,54999715,0.20152322544797283,0.9999399035678973
2025-09-23,300,0.20487462135634352,0.7951253786436565,1000000,0.93136079343513,19925284.0,0.20487462135634352,1.0,0.5391232365565756,1652,nan,7396,0.0005424048352861942,0.0007160207598296285,0.6327667725985043,0.0001736159245434343,1396.6075512083505,1843.6413817593652,55000000,54999700,0.20486975468175891,0.9999381546256458
2025-09-23,320,0.20916124855164323,0.7908387514483568,1000000,0.93136079343513,19925284.0,0.20916124855164323,1.0,0.5391232365565756,1694,nan,7396,0.0005433236519206236,0.0007107902190202776,0.6259692544443165,0.000167466567099654,1406.8848631293163,1840.5235930095203,55000000,54999680,0.2091560693650163,0.9999365231559142
2025-09-23,360,0.21711260510877836,0.7828873948912216,1000000,0.93136079343513,19925284.0,0.21711260510877836,1.0,0.5391232365565756,1915,nan,7396,0.0005449070551878914,0.0006873319387055164,0.6134575801347514,0.00014242488351762496,1454.9011091836437,1835.175357851049,55000000,54999640,0.21710680463978801,0.9999278216126558
2025-09-23,405,0.2249351105679678,0.7750648894320322,1000000,0.93136079343513,19925284.0,0.2249351105679678,1.0,0.5391232365565756,2082,nan,7396,0.0005462680210300031,0.0006734326269799388,0.6012718508513183,0.00012716460594993574,1484.929538511637,1830.6032231476283,55000000,54999595,0.22492861845704873,0.999921229721571
2025-09-23,455,0.23290151094871672,0.7670984890512833,1000000,0.93136079343513,19925284.0,0.23290151094871672,1.0,0.5391232365565756,2167,nan,7396,0.0005475376540904467,0.0006672819028741729,0.5889876295588522,0.00011974424878372622,1498.6169948453803,1826.3584112058381,55000000,54999545,0.23289425564013438,0.9999178609127516
2025-09-23,511,0.2414333523586901,0.7585666476413099,1000000,0.93136079343513,19925284.0,0.2414333523586901,1.0,0.5391232365565756,2229,nan,7396,0.0005488377896223946,0.0006630455913675363,0.5759721967033976,0.00011420780174514171,1508.1919147331826,1822.0319717561888,55000000,54999489,0.2414252454880395,0.999915357636865
2025-09-23,574,0.2505330024570721,0.7494669975429279,1000000,0.93136079343513,19925284.0,0.2505330024570721,1.0,0.5391232365565756,2443,nan,7396,0.0005501540200411524,0.0006501903744079177,0.5622509344260522,0.0001000363543667653,1538.0110800788602,1817.6728035636245,55000000,54999426,0.2505239423612483,0.9999066069201294
2025-09-23,645,0.25942571226984923,0.7405742877301508,1000000,0.93136079343513,19925284.0,0.25942571226984923,1.0,0.5391232365565756,2665,nan,7396,0.0005512691809913626,0.0006394929131360691,0.5490015448280114,8.822373214470651e-05,1563.738986716845,1813.995838116095,55000000,54999355,0.2594155921008315,0.9998974917700745
2025-09-23,725,0.26866810083195203,0.731331899168048,1000000,0.93136079343513,19925284.0,0.26866810083195203,1.0,0.5391232365565756,2796,nan,7396,0.0005523372731074583,0.000634046597834633,0.5353986840138514,8.17093247271748e-05,1577.1711470657744,1810.4879911036678,55000000,54999275,0.2686567952040765,0.999892019332949
2025-09-23,815,0.278198504166839,0.721801495833161,1000000,0.93136079343513,19925284.0,0.278198504166839,1.0,0.5391232365565756,3025,nan,7396,0.0005533479504323058,0.0006257984385087936,0.521550747337421,7.245048807648783e-05,1597.9586053025093,1807.1811763624407,55000000,54999185,0.27818587652444204,0.9998823037576116
2025-09-23,916,0.28797473864871986,0.7120252613512801,1000000,0.93136079343513,19925284.0,0.28797473864871986,1.0,0.5391232365565756,3264,nan,7396,0.0005542952676937833,0.0006186167783821891,0.5075342680700525,6.432151068840588e-05,1616.5096630828652,1804.0926168477472,55000000,54999084,0.28796064098360613,0.9998720065650352
2025-09-23,1000,0.2953183716479168,0.7046816283520831,1000000,0.93136079343513,19925284.0,0.2953183716479168,1.0,0.5391232365565756,3428,nan,7396,0.0005549374842088853,0.0006143512571596821,0.4971311348211523,5.9413772950796855e-05,1627.7333013417765,1802.0047815396586,55000000,54999000,0.29530306433524633,0.9998647976838654
2025-09-23,1029,0.29773783225214706,0.7022621677478529,1000000,0.93136079343513,19925284.0,0.29773783225214706,1.0,0.5391232365565756,3487,nan,7396,0.000555139347212241,0.000612926538390354,0.4937272915971257,5.7787191178112994e-05,1631.5168904680888,1801.349526063552,55000000,54998971,0.2977221093944962,0.9998621709590265
2025-09-23,1156,0.30774739150047,0.69225260849953,1000000,0.93136079343513,19925284.0,0.30774739150047,0.9735343620635675,0.5391232365565756,3710,nan,7396,0.0005559289862146641,0.0006080411978704618,0.47976960296061816,5.211221165579771e-05,1644.6254028547614,1798.7908973932583,55000000,54998844,0.30772986018232623,0.9998521797293648
2025-09-23,1299,0.3178291959790947,0.6821708040209054,1000000,0.93136079343513,19925284.0,0.3178291959790947,0.8855150332378188,0.5391232365565756,4092,nan,7396,0.0005566413241004345,0.0006011478582865116,0.4659136471826289,4.4506534186077165e-05,1663.4842596800743,1796.4889718097368,55000000,54998701,0.31780965360592234,0.9998346625065148
2025-09-23,1460,0.3276290157035448,0.6723709842964551,1000000,0.93136079343513,19925284.0,0.3276290157035448,0.824805785577781,0.5391232365565756,4421,nan,7396,0.0005572382528269282,0.0005963812332204637,0.4526399787766109,3.914298039353548e-05,1676.7797916778695,1794.5645241095617,55000000,54998540,0.32760724537269403,0.9998191918146953
2025-09-23,1641,0.3374402491892688,0.6625597508107313,1000000,0.93136079343513,19925284.0,0.3374402491892688,0.7642180220574759,0.5391232365565756,4825,nan,7396,0.0005577708559687466,0.0005915983293249967,0.43954319425034705,3.382747335625011e-05,1690.3360784351478,1792.8509338537988,55000000,54998359,0.3374160064106656,0.999799659706255
2025-09-23,1844,0.34764759606915663,0.6523524039308434,1000000,0.93136079343513,19925284.0,0.34764759606915663,0.7569768140514288,0.5391232365565756,4880,nan,7396,0.0005582841157345112,0.0005910235150813048,0.4261219430300847,3.27393993467937e-05,1691.9800557553683,1791.2026722887174,55000000,54998156,0.34762060335287315,0.999796963399112
2025-09-23,2072,0.3590903444473911,0.6409096555526089,1000000,0.93136079343513,19925284.0,0.3590903444473911,0.7569767685465768,0.5391232365565756,4880,nan,7396,0.0005588583985873473,0.0005910235100076594,0.41132404497915115,3.2165111420312004e-05,1691.980070280183,1789.3620325430325,55000000,54997928,0.35906026378972505,0.999796963382025
2025-09-23,2328,0.37188827420512904,0.628111725794871,1000000,0.93136079343513,19925284.0,0.37188827420512904,0.7467192195166719,0.5391232365565756,4951,nan,7396,0.0005594982223712856,0.0005901856208229674,0.39508383830338245,3.068739845168178e-05,1694.3821820083972,1787.3157769148288,55000000,54997672,0.37185472844431017,0.9997930483043332
2025-09-23,2616,0.3850840794132776,0.6149159205867224,1000000,0.93136079343513,19925284.0,0.3850840794132776,0.7033953762406775,0.5391232365565756,5282,nan,7396,0.0005601035725989106,0.0005866110582801412,0.3786816929636152,2.650748568123069e-05,1704.70703864986,1785.3840770198026,55000000,54997384,0.38504668745748605,0.9997738796009822
2025-09-23,2940,0.3981482378703566,0.6018517621296434,1000000,0.93136079343513,19925284.0,0.3981482378703566,0.6663714059496975,0.5391232365565756,5621,nan,7396,0.0005606308568152202,0.000583496023330068,0.36278617443537214,2.2865166514847757e-05,1713.8077382137135,1783.7048885976544,55000000,54997060,0.3981066034663232,0.9997528435039943
2025-09-23,3000,0.4004070976665547,0.5995929023334453,1000000,0.93136079343513,19925284.0,0.4004070976665547,0.6619358369954396,0.5391232365565756,5666,nan,7396,0.0005607158993544689,0.0005831170906181564,0.36007236442799895,2.2401191263687523e-05,1714.9214387455363,1783.4343580256284,55000000,54997000,0.4003646859569156,0.9997499272003216
2025-09-23,3303,0.4111848083163849,0.5888151916836151,1000000,0.93136079343513,19925284.0,0.4111848083163849,0.6394571105733409,0.5391232365565756,5909,nan,7396,0.0005610994820047124,0.0005811694026619793,0.3472644294394171,2.0069920657266874e-05,1720.668699039584,1782.2151544805765,55000000,54996697,0.41113850631055787,0.9997334005635907
2025-09-23,3712,0.42421793426325266,0.5757820657367474,1000000,0.93136079343513,19925284.0,0.42421793426325266,0.6135652785635698,0.5391232365565756,6229,nan,7396,0.000561515451046388,0.00057885365085616,0.33208650267512246,1.7338199809771978e-05,1727.5523761851355,1780.8948945865923,55000000,54996288,0.42416647313307887,0.9997095051721253
2025-09-23,4171,0.4368823227436613,0.5631176772563387,1000000,0.93136079343513,19925284.0,0.4368823227436613,0.5854095907675559,0.5391232365565756,6649,nan,7396,0.000561865687294892,0.0005762142186360037,0.31766338412586886,1.4348531341111689e-05,1735.4656786623016,1779.7847823997047,55000000,54995829,0.4368252046451727,0.9996739089187135
2025-09-23,4686,0.44981445519764135,0.5501855448023587,1000000,0.93136079343513,19925284.0,0.44981445519764135,0.5829848583154649,0.5391232365565756,6689,nan,7396,0.0005621904272130786,0.0005759780822654782,0.3032663241366813,1.3787655052399585e-05,1736.17717546947,1778.7567194220208,55000000,54995314,0.44975108362488625,0.9996701338269773
2025-09-23,5266,0.46340072984701847,0.5365992701529816,1000000,0.93136079343513,19925284.0,0.46340072984701847,0.5654670675955203,0.5391232365565756,6964,nan,7396,0.0005625093136545385,0.0005740784378586086,0.2885012860423671,1.156912420407013e-05,1741.9222427690147,1777.748342517478,55000000,54994734,0.4633304024508189,0.9996354763713552
2025-09-23,5917,0.47640577563035236,0.5235942243696476,1000000,0.93136079343513,19925284.0,0.47640577563035236,0.5514421532835372,0.5391232365565756,7201,nan,7396,0.000562769584796795,0.0005723919949078688,0.2747136813780497,9.622410111073723e-06,1747.0544817122368,1776.9261648372135,55000000,54994083,0.4763278553883486,0.999594522537394
2025-09-23,6649,0.48875157573084027,0.5112484242691597,1000000,0.93136079343513,19925284.0,0.48875157573084027,0.5399522357032728,0.5391232365565756,7386,nan,7396,0.0005629783686513128,0.0005707897899214819,0.2619379296863501,7.81142127016905e-06,1751.958457661901,1776.2671812695553,55000000,54993351,0.48866536364618046,0.9995409541583218
2025-09-23,7471,0.5011373405155134,0.4988626594844866,1000000,0.93136079343513,19925284.0,0.5011373405155134,0.5392145901965534,0.5391232365565756,7396,7396,7396,0.0005631649966138067,0.0005706759519092366,0.24942711802454862,7.510955295429953e-06,1752.3079370252583,1775.6785418355025,55000000,54992529,0.5010419903963058,0.9995363598365126
2025-09-23,8395,0.5150493131154663,0.4849506868845337,1000000,0.93136079343513,19925284.0,0.5150493131154663,0.5392145901965534,0.5391232365565756,7396,7396,7396,0.0005633744587151774,0.0005706759519092851,0.2357405431684962,7.301493194107615e-06,1752.3079370251096,1775.0183462001164,55000000,54991605,0.5149436923518103,0.9995363598365126
2025-09-23,9433,0.5306776975696076,0.4693223024303924,1000000,0.93136079343513,19925284.0,0.5306776975696076,0.5392145806361139,0.5391232365565756,7396,7396,7396,0.000563609763532755,0.0005706759409758531,0.22082703332209747,7.066177443098141e-06,1752.3079705971218,1774.2772831540622,55000000,54990567,0.5305605390041289,0.9995363595491255
2025-09-23,10000,0.5391232365565756,0.46087676344342443,1000000,0.93136079343513,19925284.0,0.5391232365565756,0.5391232365565756,0.5391232365565756,7396,7396,7396,0.0005637355909655504,0.0005703241950839019,0.21297112667305176,6.588604118351613e-06,1753.3887017591587,1773.8812592748106,55000000,54990000,0.5389997918833793,0.9995226156332327
2025-09-23,10600,0.5470741223390688,0.4529258776609312,1000000,0.93136079343513,19925284.0,0.5391232365565756,0.5391232365565756,0.5391232365565756,7396,7396,7396,0.0005638411377830542,0.0005695239071587379,0.20570569179270784,5.682769375683735e-06,1755.8525417990568,1773.54920205337,55000000,54989400,0.5469442063906286,0.9994855193354856
2025-09-23,11911,0.5616663745949799,0.4383336254050201,1000000,0.93136079343513,19925284.0,0.5391232365565756,0.5391232365565756,0.5391232365565756,7396,7396,7396,0.0005640044170104631,0.0005684041669007722,0.1927003715777189,4.399749890309089e-06,1759.3115220328295,1773.035759720741,55000000,54988089,0.5615228647330527,0.9994135293183778
2025-09-23,13383,0.5754351962949431,0.4245648037050569,1000000,0.93136079343513,19925284.0,0.5391232365565756,0.5391232365565756,0.5391232365565756,7396,7396,7396,0.0005641337703402625,0.0005676282446940639,0.18081940631545376,3.494474353801365e-06,1761.7164215268617,1772.6292106158453,55000000,54986617,0.5752769869505936,0.9993402965471969
2025-09-23,15038,0.587564995176821,0.41243500482317896,1000000,0.93136079343513,19925284.0,0.5391232365565756,0.5391232365565756,0.5391232365565756,7396,7396,7396,0.0005642230565788294,0.0005668821312479873,0.1706668562600745,2.659074669157948e-06,1764.035140424177,1772.348698515632,55000000,54984962,0.5873910725485595,0.9992336079117138
2025-09-23,16898,0.5983029653180452,0.40169703468195483,1000000,0.93136079343513,19925284.0,0.5391232365565756,0.5391232365565756,0.5391232365565756,7396,7396,7396,0.000564285291808927,0.0005663702704971726,0.16192479296408457,2.084978688245562e-06,1765.6293984537315,1772.1532255329641,55000000,54983102,0.5981121720625142,0.9991205539972743
