budget,observed_count,total_supply_btc,coverage,omitted_mass,largest_share,omitted_share_cap,cr_capping_lower,cr_capping_upper,cr_merge_lower,cr_merge_upper,cr_shift_lower,cr_shift_upper,nc_capping_lower,nc_capping_upper,nc_merge_lower,nc_merge_upper,nc_shift_lower,nc_shift_upper,hhi_capping_lower,hhi_capping_upper,hhi_merge_lower,hhi_merge_upper,hhi_shift_lower,hhi_shift_upper
0.0,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.5391232365565756,7396.0,7396.0,7396.0,7396.0,7396.0,7396.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.0005648608962468385,0.0005648574521067787,0.0005648608962468385
0.004830917874396135,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.5439541544309717,0.5342923186821794,0.5439541544309717,7396.0,7396.0,7075.0,7396.0,7075.0,7717.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.0007087442052952947,0.0004676494356733829,0.0007087442052952947
0.00966183574879227,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.5487850723053679,0.5294614008077833,0.5487850723053679,7396.0,7396.0,6754.0,7396.0,6754.0,8038.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.0008993030493626329,0.00040456531644969713,0.0008993030493626329
0.014492753623188404,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.5536159901797639,0.5246304829333872,0.5536159901797639,7396.0,7396.0,6443.0,7396.0,6443.0,8359.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.0011365374284474819,0.00035377169447088934,0.0011365374284474819
0.01932367149758454,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.5584469080541601,0.519799565058991,0.5584469080541601,7396.0,7396.0,6157.0,7396.0,6157.0,8679.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.001420447342550902,0.00031317737341551464,0.001420447342550902
0.024154589371980676,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.5632778259285562,0.5149686471845949,0.5632778259285562,7396.0,7396.0,5887.0,7396.0,5887.0,9000.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.0017510327916732044,0.0002789463388212266,0.0017510327916732044
0.02898550724637681,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.5681087438029524,0.5101377293101987,0.5681087438029524,7396.0,7396.0,5637.0,7396.0,5637.0,9321.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.002128293775813006,0.0002491644692689464,0.002128293775813006
0.033816425120772944,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.5729396616773486,0.5053068114358026,0.5729396616773486,7396.0,7396.0,5398.0,7396.0,5398.0,9642.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.002552230294971391,0.00022341201325127376,0.002552230294971391
0.03864734299516908,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.5777705795517446,0.5004758935614064,0.5777705795517446,7396.0,7396.0,5173.0,7396.0,5173.0,9967.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.0030228423491486566,0.00020106198538254595,0.0030228423491486566
0.043478260869565216,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.5826014974261408,0.49564497568701027,0.5826014974261408,7396.0,7396.0,4962.0,7396.0,4962.0,10318.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.0035401299383434133,0.0001815130411575643,0.0035401299383434133
0.04830917874396135,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.5874324153005369,0.4908140578126142,0.5874324153005369,7396.0,7396.0,4762.0,7396.0,4762.0,10699.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.004104093062556761,0.00016422780757501952,0.004104093062556761
0.05314009661835749,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.5922633331749331,0.48598313993821807,0.5922633331749331,7396.0,7396.0,4569.0,7396.0,4569.0,11105.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.004714731721788991,0.00014890894397886334,0.004714731721788991
0.05797101449275362,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.5970942510493292,0.4811522220638219,0.5970942510493292,7396.0,7396.0,4376.0,7396.0,4376.0,11548.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.0053720459160386995,0.0001352267116105491,0.0053720459160386995
0.06280193236714976,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.6019251689237253,0.47632130418942575,0.6019251689237253,7396.0,7396.0,4184.0,7396.0,4184.0,12025.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.006076035645307014,0.0001229700182718314,0.006076035645307014
0.06763285024154589,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.6067560867981214,0.47149038631502965,0.6067560867981214,7396.0,7396.0,3999.0,7396.0,3999.0,12509.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.006826700909594207,0.00011193235856537235,0.006826700909594207
0.07246376811594203,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.6115870046725176,0.4666594684406335,0.6115870046725176,7396.0,7396.0,3825.0,7396.0,3825.0,13034.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.007624041708862852,0.00010198593066790749,0.007624041708862852
0.07729468599033816,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.6164179225469137,0.4618285505662374,0.6164179225469137,7396.0,7396.0,3662.0,7396.0,3662.0,13614.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.008468058042177502,9.30469767473515e-05,0.008468058042177502
0.08212560386473429,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.6212488404213099,0.4569976326918413,0.6212488404213099,7396.0,7396.0,3506.0,7396.0,3506.0,14250.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.00935874989008428,8.502719819142938e-05,0.00935874989008428
0.08695652173913043,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.6260797582957061,0.45216671481744514,0.6260797582957061,7396.0,7396.0,3359.0,7396.0,3359.0,14945.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.010296117228147527,7.787055896438152e-05,0.010296117228147527
0.09178743961352656,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.6309106761701021,0.447335796943049,0.6309106761701021,7396.0,7396.0,3218.0,7396.0,3218.0,15722.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.011280160047921728,7.15248680574563e-05,0.011280160047921728
0.0966183574879227,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.6357415940444983,0.4425048790686528,0.6357415940444983,7396.0,7396.0,3081.0,7396.0,3081.0,16579.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.012310878340581003,6.594071429322022e-05,0.012310878340581003
0.1,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.6391232365565755,0.43912323655657554,0.6391232365565755,7396.0,7396.0,2990.0,7396.0,2990.0,17230.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.013060153050810099,6.246490245176129e-05,0.013060153050810099
0.10144927536231883,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.6405725119188944,0.43767396119425667,0.6405725119188944,7396.0,7396.0,2951.0,7396.0,2951.0,17518.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.013388272112063419,6.106559006537829e-05,0.013388272112063419
0.10628019323671498,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.6454034297932906,0.4328430433198606,0.6454034297932906,7396.0,7396.0,2827.0,7396.0,2827.0,18481.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.014512341394128969,5.673145685147063e-05,0.014512341394128969
0.1111111111111111,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.6502343476676866,0.4280121254454645,0.6502343476676866,7396.0,7396.0,2707.0,7396.0,2707.0,19444.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.01568308613325043,5.2865412752978846e-05,0.01568308613325043
0.11594202898550723,1000000,19925284.0,0.93136079343513,0.06863920656487005,0.012476488638054544,5.017745292865086e-08,0.5391232365565756,0.5391232365565756,0.5391232365565756,0.6550652655420828,0.42318120757106836,0.6550652655420828,7396.0,7396.0,2593.0,7396.0,2593.0,20411.0,0.0005648574521067787,0.0005648608962468386,0.0005648574521067787,0.016900506315874232,4.941610088668902e-05,0.016900506315874232
