metric,label,validator_label_value,withdrawal_address_value,withdrawal_partition_moved_mass,validator_merge_safe_lower,validator_merge_safe_upper,unresolved_00_rho,conditional_merge_lower,conditional_merge_upper,stress_alpha,stress_shift_lower,stress_shift_upper
cr,CR_10000,0.3366929235172427,0.9747939307440353,0.9088575796926218,0.3366929235172427,1.0,0.006574708312834881,0.9747939307440353,0.9813686390568702,0.1,0.8747939307440353,1.0
nc,NC_0.5,224285.0,65.0,0.9088575796926218,1.0,224285.0,0.006574708312834881,61.0,65.0,0.1,19.0,180.0
hhi,HHI,1.3773980250253188e-05,0.053245048179519076,0.9088575796926218,1.3773980250253188e-05,0.8261121539868829,0.006574708312834881,0.053245048179519416,0.05610184312026344,0.1,0.02045116493693644,0.10603705708871382
